global_sales_in_millions,na_sales_in_millions,pal_sales_in_millions,japan_sales_in_millions,other_sales_in_millions,total_shipped_in_millions,game_id
2.79,1.35,1.15,0.0,0.3,0.0,105
2.77,1.74,0.78,0.0,0.26,0.0,106
2.77,1.26,1.14,0.07,0.3,0.0,107
0.0,0.0,0.0,0.0,0.0,2.76,108
0.0,0.0,0.0,0.0,0.0,2.75,109
2.69,1.85,0.64,0.01,0.19,0.0,110
0.0,0.0,0.0,0.0,0.0,2.67,111
2.65,1.59,0.8,0.0,0.26,0.0,112
2.65,1.15,1.11,0.0,0.4,0.0,113
0.0,0.0,0.0,0.0,0.0,2.65,114
2.6,1.86,0.55,0.11,0.08,0.0,115
2.59,1.53,0.83,0.0,0.24,0.0,116
0.0,0.0,0.0,0.0,0.0,2.58,117
2.51,0.6,1.45,0.08,0.38,0.0,118
2.49,1.84,0.56,0.0,0.09,0.0,119
2.48,0.86,1.06,0.18,0.37,0.0,120
2.48,1.15,1.14,0.06,0.13,0.0,121
2.47,1.34,0.92,0.0,0.22,0.0,122
0.0,0.0,0.0,0.0,0.0,2.47,123
2.45,1.18,0.74,0.13,0.4,0.0,124
0.0,0.0,0.0,0.0,0.0,2.42,125
0.0,0.0,0.0,0.0,0.0,2.4,126
2.38,1.48,0.7,0.0,0.21,0.0,127
2.37,0.96,1.08,0.04,0.3,0.0,128
2.37,0.58,1.38,0.04,0.36,0.0,129
2.34,1.26,0.87,0.0,0.21,0.0,130
2.32,1.51,0.59,0.0,0.22,0.0,131
2.32,0.79,1.35,0.04,0.14,0.0,132
0.0,0.0,0.0,0.0,0.0,2.31,133
2.31,1.02,0.93,0.0,0.36,0.0,134
0.0,0.0,0.0,0.0,0.0,2.3,135
2.29,1.08,0.74,0.15,0.32,0.0,136
0.0,0.0,0.0,0.0,0.0,2.25,137
0.0,0.0,0.0,0.0,0.0,2.24,138
2.23,1.74,0.25,0.21,0.03,0.0,139
2.22,1.01,0.86,0.0,0.35,0.0,140
2.2,2.06,0.12,0.0,0.02,0.0,141
0.0,0.0,0.0,0.0,0.0,2.16,142
2.09,1.26,0.6,0.05,0.18,0.0,143
2.08,0.46,0.42,0.96,0.25,0.0,144
2.06,1.15,0.77,0.04,0.1,0.0,145
2.06,0.59,1.08,0.07,0.32,0.0,146
2.06,0.89,0.95,0.02,0.21,0.0,147
2.06,1.2,0.62,0.04,0.19,0.0,148
2.04,0.82,0.84,0.06,0.33,0.0,149
2.04,0.71,1.02,0.0,0.31,0.0,150
0.0,0.0,0.0,0.0,0.0,2.02,151
0.0,0.0,0.0,0.0,0.0,2.02,152
0.0,0.0,0.0,0.0,0.0,2.0,153
0.0,0.0,0.0,0.0,0.0,2.0,154
0.0,0.0,0.0,0.0,0.0,2.0,155
1.99,0.95,0.64,0.27,0.13,0.0,156
1.97,1.12,0.61,0.07,0.16,0.0,157
1.97,1.84,0.11,0.0,0.02,0.0,158
1.97,0.62,1.02,0.01,0.31,0.0,159
1.96,0.77,0.85,0.01,0.32,0.0,160
1.95,1.26,0.61,0.0,0.09,0.0,161
1.91,0.59,1.0,0.01,0.3,0.0,162
1.9,0.86,0.87,0.01,0.16,0.0,163
1.87,1.05,0.48,0.08,0.26,0.0,164
1.86,1.11,0.56,0.0,0.19,0.0,165
0.0,0.0,0.0,0.0,0.0,1.86,166
1.86,0.56,0.9,0.11,0.28,0.0,167
1.85,1.33,0.37,0.0,0.15,0.0,168
0.0,0.0,0.0,0.0,0.0,1.8,169
0.0,0.0,0.0,0.0,0.0,1.8,170
0.0,0.0,0.0,0.0,0.0,1.8,171
0.0,0.0,0.0,0.0,0.0,1.79,172
1.79,1.01,0.62,0.0,0.15,0.0,173
1.78,1.12,0.58,0.0,0.08,0.0,174
1.78,0.39,1.01,0.02,0.36,0.0,175
1.78,1.14,0.47,0.0,0.17,0.0,176
0.0,0.0,0.0,0.0,0.0,1.78,177
1.77,0.85,0.76,0.0,0.16,0.0,178
0.0,0.0,0.0,0.0,0.0,1.77,179
1.76,0.86,0.67,0.0,0.22,0.0,180
1.76,1.26,0.47,0.0,0.03,0.0,181
1.76,1.05,0.53,0.03,0.15,0.0,182
1.75,0.45,0.92,0.06,0.32,0.0,183
0.0,0.0,0.0,0.0,0.0,1.75,184
1.75,0.73,0.66,0.07,0.28,0.0,185
0.0,0.0,0.0,0.0,0.0,1.74,186
1.73,1.48,0.2,0.0,0.05,0.0,187
1.73,0.94,0.62,0.1,0.07,0.0,188
1.72,0.85,0.66,0.0,0.22,0.0,189
1.7,0.68,0.88,0.01,0.13,0.0,190
0.0,0.0,0.0,0.0,0.0,1.7,191
0.0,0.0,0.0,0.0,0.0,1.7,192
0.0,0.0,0.0,0.0,0.0,1.7,193
1.7,0.68,0.82,0.0,0.19,0.0,194
1.69,1.01,0.51,0.01,0.15,0.0,195
1.69,0.87,0.66,0.08,0.08,0.0,196
1.68,0.88,0.54,0.02,0.24,0.0,197
1.65,1.21,0.3,0.0,0.14,0.0,198
1.62,0.53,0.71,0.13,0.25,0.0,199
0.0,0.0,0.0,0.0,0.0,1.6,200
1.6,0.59,0.83,0.02,0.17,0.0,201
0.0,0.0,0.0,0.0,0.0,1.59,202
1.58,0.58,0.45,0.34,0.2,0.0,203
1.58,0.97,0.46,0.0,0.14,0.0,204
1.57,0.73,0.69,0.0,0.15,0.0,205
0.0,0.0,0.0,0.0,0.0,1.56,206
1.56,1.05,0.36,0.0,0.15,0.0,207
1.56,1.32,0.19,0.0,0.05,0.0,208
1.56,0.85,0.55,0.0,0.15,0.0,209
1.55,0.57,0.87,0.02,0.09,0.0,210
0.0,0.0,0.0,0.0,0.0,1.53,211
0.0,0.0,0.0,0.0,0.0,1.52,212
1.51,1.26,0.05,0.0,0.21,0.0,213
0.0,0.0,0.0,0.0,0.0,1.51,214
1.51,0.8,0.5,0.0,0.21,0.0,215
1.5,0.47,0.41,0.44,0.18,0.0,216
0.0,0.0,0.0,0.0,0.0,1.5,217
1.5,1.21,0.14,0.1,0.04,0.0,218
1.49,0.5,0.7,0.04,0.25,0.0,219
1.49,0.75,0.53,0.09,0.13,0.0,220
1.48,0.84,0.51,0.0,0.13,0.0,221
0.0,0.0,0.0,0.0,0.0,1.48,222
1.48,0.82,0.59,0.0,0.07,0.0,223
1.47,1.01,0.31,0.01,0.14,0.0,224
1.47,0.84,0.49,0.0,0.13,0.0,225
1.46,1.02,0.38,0.0,0.06,0.0,226
0.0,0.0,0.0,0.0,0.0,1.45,227
0.0,0.0,0.0,0.0,0.0,1.45,228
1.44,0.71,0.61,0.0,0.12,0.0,229
1.44,0.95,0.37,0.0,0.12,0.0,230
1.43,0.8,0.54,0.0,0.09,0.0,231
1.42,0.77,0.52,0.01,0.12,0.0,232
1.41,1.07,0.35,0.0,0.0,0.0,233
1.41,1.09,0.28,0.0,0.04,0.0,234
1.41,0.58,0.51,0.0,0.32,0.0,235
1.41,0.97,0.37,0.03,0.05,0.0,236
1.4,1.07,0.28,0.0,0.05,0.0,237
0.0,0.0,0.0,0.0,0.0,1.4,238
0.0,0.0,0.0,0.0,0.0,1.4,239
0.0,0.0,0.0,0.0,0.0,1.4,240
1.39,0.63,0.62,0.0,0.14,0.0,241
1.39,1.05,0.17,0.15,0.02,0.0,242
1.39,0.87,0.38,0.0,0.13,0.0,243
1.38,1.26,0.02,0.0,0.1,0.0,244
1.38,0.96,0.37,0.0,0.05,0.0,245
1.37,0.43,0.57,0.15,0.22,0.0,246
1.36,0.85,0.28,0.13,0.1,0.0,247
0.0,0.0,0.0,0.0,0.0,1.35,248
0.0,0.0,0.0,0.0,0.0,1.35,249
1.35,0.71,0.53,0.0,0.12,0.0,250
1.34,0.79,0.34,0.08,0.13,0.0,251
1.33,0.58,0.45,0.09,0.21,0.0,252
1.33,0.66,0.5,0.05,0.12,0.0,253
1.32,0.73,0.5,0.0,0.09,0.0,254
0.0,0.0,0.0,0.0,0.0,1.32,255
0.0,0.0,0.0,0.0,0.0,1.31,256
1.31,0.84,0.35,0.0,0.12,0.0,257
0.0,0.0,0.0,0.0,0.0,1.3,258
1.3,0.46,0.57,0.07,0.2,0.0,259
0.0,0.0,0.0,0.0,0.0,1.3,260
1.28,1.1,0.14,0.0,0.04,0.0,261
1.28,0.63,0.49,0.0,0.16,0.0,262
1.28,0.62,0.49,0.0,0.16,0.0,263
1.27,0.62,0.48,0.0,0.16,0.0,264
1.26,0.7,0.44,0.0,0.12,0.0,265
1.26,0.43,0.5,0.05,0.28,0.0,266
1.25,0.49,0.0,0.01,0.75,0.0,267
1.25,1.17,0.07,0.0,0.01,0.0,268
0.0,0.0,0.0,0.0,0.0,1.25,269
1.25,0.61,0.48,0.0,0.16,0.0,270
1.25,0.52,0.56,0.0,0.17,0.0,271
1.24,0.65,0.41,0.0,0.18,0.0,272
1.24,0.82,0.38,0.0,0.04,0.0,273
1.24,1.12,0.03,0.0,0.09,0.0,274
1.23,0.54,0.55,0.0,0.13,0.0,275
1.21,0.44,0.4,0.21,0.16,0.0,276
1.21,0.66,0.48,0.01,0.06,0.0,277
1.2,0.59,0.46,0.0,0.15,0.0,278
1.2,0.38,0.59,0.05,0.19,0.0,279
0.0,0.0,0.0,0.0,0.0,1.2,280
0.0,0.0,0.0,0.0,0.0,1.2,281
0.0,0.0,0.0,0.0,0.0,1.2,282
0.0,0.0,0.0,0.0,0.0,1.2,283
1.2,0.72,0.43,0.01,0.04,0.0,284
0.0,0.0,0.0,0.0,0.0,1.2,285
1.19,0.92,0.23,0.0,0.04,0.0,286
1.19,0.38,0.35,0.38,0.09,0.0,287
1.19,0.76,0.38,0.0,0.05,0.0,288
1.19,0.86,0.27,0.01,0.04,0.0,289
1.18,0.48,0.5,0.0,0.2,0.0,290
1.18,0.52,0.47,0.0,0.19,0.0,291
1.18,0.41,0.56,0.02,0.19,0.0,292
1.18,0.47,0.45,0.06,0.19,0.0,293
1.17,0.74,0.38,0.02,0.03,0.0,294
1.16,0.64,0.42,0.0,0.1,0.0,295
1.16,0.83,0.28,0.0,0.05,0.0,296
1.15,0.56,0.44,0.0,0.15,0.0,297
1.15,1.07,0.07,0.0,0.01,0.0,298
1.15,0.0,0.0,1.15,0.0,0.0,299
0.0,0.0,0.0,0.0,0.0,1.15,300
0.0,0.0,0.0,0.0,0.0,1.15,301
1.15,0.75,0.29,0.0,0.11,0.0,302
1.15,0.61,0.44,0.0,0.1,0.0,303
1.14,0.61,0.44,0.0,0.09,0.0,304
1.14,0.64,0.43,0.0,0.07,0.0,305
1.14,0.44,0.34,0.25,0.11,0.0,306
0.0,0.0,0.0,0.0,0.0,1.14,307
0.0,0.0,0.0,0.0,0.0,1.14,308
1.14,0.71,0.38,0.0,0.05,0.0,309
1.14,0.82,0.3,0.0,0.02,0.0,310
0.0,0.0,0.0,0.0,0.0,1.13,311
1.12,0.82,0.26,0.0,0.04,0.0,312
1.11,0.63,0.37,0.0,0.11,0.0,313
1.11,0.33,0.6,0.0,0.18,0.0,314
1.11,0.5,0.37,0.1,0.15,0.0,315
1.11,0.68,0.38,0.0,0.05,0.0,316
1.11,0.61,0.38,0.02,0.1,0.0,317
1.11,0.52,0.44,0.0,0.14,0.0,318
1.1,0.62,0.38,0.0,0.1,0.0,319
0.0,0.0,0.0,0.0,0.0,1.1,320
0.0,0.0,0.0,0.0,0.0,1.1,321
1.09,0.51,0.41,0.0,0.17,0.0,322
1.09,0.53,0.42,0.03,0.11,0.0,323
1.09,0.43,0.41,0.0,0.24,0.0,324
1.09,0.89,0.03,0.01,0.15,0.0,325
1.08,0.64,0.28,0.04,0.12,0.0,326
0.0,0.0,0.0,0.0,0.0,1.08,327
0.0,0.0,0.0,0.0,0.0,1.08,328
1.08,0.77,0.29,0.0,0.02,0.0,329
1.07,0.96,0.03,0.0,0.08,0.0,330
1.06,0.52,0.41,0.0,0.14,0.0,331
1.06,0.67,0.28,0.01,0.1,0.0,332
1.05,0.42,0.5,0.04,0.08,0.0,333
1.05,0.31,0.49,0.09,0.15,0.0,334
1.05,0.66,0.28,0.0,0.1,0.0,335
1.04,0.54,0.4,0.0,0.1,0.0,336
0.0,0.0,0.0,0.0,0.0,1.04,337
1.03,0.46,0.47,0.0,0.11,0.0,338
0.0,0.0,0.0,0.0,0.0,1.03,339
0.0,0.0,0.0,0.0,0.0,1.03,340
1.03,0.96,0.07,0.0,0.0,0.0,341
1.02,0.36,0.49,0.0,0.17,0.0,342
1.02,0.57,0.39,0.0,0.07,0.0,343
1.02,0.59,0.34,0.0,0.09,0.0,344
1.01,0.31,0.53,0.01,0.16,0.0,345
1.01,0.51,0.41,0.0,0.09,0.0,346
1.01,0.51,0.41,0.0,0.09,0.0,347
0.0,0.0,0.0,0.0,0.0,1.01,348
0.0,0.0,0.0,0.0,0.0,1.0,349
0.0,0.0,0.0,0.0,0.0,1.0,350
0.0,0.0,0.0,0.0,0.0,1.0,351
0.0,0.0,0.0,0.0,0.0,1.0,352
0.0,0.0,0.0,0.0,0.0,1.0,353
0.0,0.0,0.0,0.0,0.0,1.0,354
0.0,0.0,0.0,0.0,0.0,1.0,355
1.0,0.13,0.1,0.74,0.03,0.0,356
0.0,0.0,0.0,0.0,0.0,0.99,357
0.99,0.3,0.23,0.38,0.08,0.0,358
0.0,0.0,0.0,0.0,0.0,0.99,359
0.0,0.0,0.0,0.0,0.0,0.98,360
0.98,0.53,0.37,0.0,0.09,0.0,361
0.97,0.62,0.26,0.0,0.09,0.0,362
0.97,0.78,0.03,0.03,0.13,0.0,363
0.97,0.53,0.34,0.0,0.1,0.0,364
0.97,0.0,0.93,0.0,0.04,0.0,365
0.97,0.75,0.19,0.0,0.03,0.0,366
0.96,0.36,0.44,0.0,0.16,0.0,367
0.96,0.36,0.28,0.22,0.09,0.0,368
0.95,0.36,0.45,0.0,0.15,0.0,369
0.95,0.65,0.22,0.0,0.09,0.0,370
0.94,0.37,0.42,0.0,0.16,0.0,371
0.0,0.0,0.0,0.0,0.0,0.94,372
0.94,0.39,0.4,0.0,0.15,0.0,373
0.94,0.54,0.27,0.0,0.13,0.0,374
0.94,0.46,0.36,0.0,0.12,0.0,375
0.94,0.48,0.37,0.0,0.08,0.0,376
0.94,0.75,0.03,0.04,0.12,0.0,377
0.93,0.87,0.05,0.0,0.01,0.0,378
0.93,0.51,0.25,0.09,0.08,0.0,379
0.93,0.67,0.25,0.0,0.02,0.0,380
0.93,0.67,0.17,0.0,0.09,0.0,381
0.92,0.45,0.35,0.0,0.12,0.0,382
0.92,0.63,0.2,0.02,0.08,0.0,383
0.92,0.55,0.21,0.0,0.16,0.0,384
0.91,0.25,0.14,0.46,0.06,0.0,385
0.91,0.34,0.47,0.0,0.1,0.0,386
0.9,0.32,0.43,0.0,0.15,0.0,387
0.9,0.5,0.34,0.0,0.06,0.0,388
0.89,0.74,0.0,0.0,0.15,0.0,389
0.89,0.4,0.33,0.02,0.15,0.0,390
0.89,0.69,0.18,0.0,0.02,0.0,391
0.89,0.3,0.23,0.3,0.05,0.0,392
0.89,0.27,0.48,0.0,0.14,0.0,393
0.89,0.42,0.32,0.0,0.15,0.0,394
0.88,0.5,0.29,0.0,0.09,0.0,395
0.88,0.43,0.34,0.0,0.11,0.0,396
0.88,0.07,0.68,0.0,0.13,0.0,397
0.87,0.49,0.31,0.0,0.08,0.0,398
0.87,0.01,0.8,0.0,0.06,0.0,399
0.87,0.11,0.09,0.64,0.03,0.0,400
0.87,0.59,0.21,0.0,0.07,0.0,401
0.87,0.57,0.21,0.0,0.08,0.0,402
0.86,0.47,0.31,0.0,0.08,0.0,403
0.0,0.0,0.0,0.0,0.0,0.86,404
0.86,0.17,0.13,0.51,0.04,0.0,405
0.85,0.12,0.63,0.0,0.11,0.0,406
0.85,0.47,0.32,0.0,0.06,0.0,407
0.85,0.28,0.41,0.03,0.13,0.0,408
0.85,0.52,0.16,0.08,0.1,0.0,409
0.85,0.31,0.4,0.0,0.14,0.0,410
0.85,0.47,0.32,0.0,0.06,0.0,411
0.85,0.35,0.39,0.04,0.07,0.0,412
0.84,0.34,0.36,0.0,0.14,0.0,413
0.84,0.65,0.17,0.0,0.02,0.0,414
0.84,0.65,0.17,0.0,0.02,0.0,415
0.84,0.34,0.36,0.0,0.14,0.0,416
0.84,0.35,0.37,0.05,0.07,0.0,417
0.84,0.09,0.0,0.0,0.74,0.0,418
0.0,0.0,0.0,0.0,0.0,0.83,419
0.83,0.24,0.19,0.34,0.06,0.0,420
0.83,0.49,0.25,0.02,0.07,0.0,421
0.83,0.6,0.22,0.0,0.01,0.0,422
0.83,0.67,0.07,0.0,0.09,0.0,423
0.82,0.76,0.05,0.0,0.01,0.0,424
0.81,0.24,0.29,0.19,0.1,0.0,425
0.0,0.0,0.0,0.0,0.0,0.81,426
0.81,0.21,0.14,0.39,0.07,0.0,427
0.81,0.26,0.41,0.0,0.13,0.0,428
0.81,0.72,0.03,0.0,0.06,0.0,429
0.8,0.52,0.21,0.0,0.07,0.0,430
0.8,0.43,0.3,0.0,0.07,0.0,431
0.79,0.74,0.04,0.0,0.01,0.0,432
0.79,0.14,0.52,0.02,0.12,0.0,433
0.79,0.48,0.24,0.0,0.06,0.0,434
0.0,0.0,0.0,0.0,0.0,0.79,435
0.78,0.45,0.24,0.02,0.07,0.0,436
0.78,0.44,0.27,0.0,0.07,0.0,437
0.78,0.53,0.19,0.0,0.06,0.0,438
0.78,0.67,0.04,0.01,0.06,0.0,439
0.78,0.61,0.11,0.0,0.06,0.0,440
0.78,0.24,0.36,0.06,0.11,0.0,441
0.77,0.38,0.28,0.0,0.11,0.0,442
0.77,0.72,0.04,0.0,0.01,0.0,443
0.77,0.34,0.35,0.0,0.08,0.0,444
0.77,0.72,0.04,0.0,0.01,0.0,445
0.77,0.6,0.09,0.0,0.08,0.0,446
0.77,0.55,0.2,0.0,0.01,0.0,447
0.77,0.71,0.0,0.0,0.06,0.0,448
0.76,0.31,0.36,0.03,0.06,0.0,449
0.76,0.14,0.32,0.22,0.09,0.0,450
0.76,0.64,0.02,0.0,0.1,0.0,451
0.76,0.41,0.27,0.0,0.07,0.0,452
0.76,0.16,0.49,0.0,0.11,0.0,453
0.76,0.28,0.4,0.0,0.08,0.0,454
0.76,0.57,0.02,0.07,0.09,0.0,455
0.76,0.42,0.25,0.02,0.07,0.0,456
0.75,0.18,0.38,0.06,0.14,0.0,457
0.0,0.0,0.0,0.0,0.0,0.75,458
0.75,0.37,0.29,0.0,0.1,0.0,459
0.75,0.38,0.26,0.0,0.11,0.0,460
0.74,0.3,0.16,0.22,0.07,0.0,461
0.74,0.31,0.31,0.0,0.12,0.0,462
0.74,0.41,0.25,0.0,0.08,0.0,463
0.74,0.53,0.2,0.0,0.01,0.0,464
0.73,0.17,0.41,0.0,0.15,0.0,465
0.73,0.52,0.19,0.0,0.01,0.0,466
0.72,0.36,0.29,0.0,0.07,0.0,467
0.72,0.52,0.19,0.0,0.01,0.0,468
0.72,0.6,0.02,0.0,0.1,0.0,469
0.72,0.27,0.14,0.27,0.04,0.0,470
0.0,0.0,0.0,0.0,0.0,0.72,471
0.72,0.23,0.31,0.0,0.18,0.0,472
0.72,0.47,0.18,0.0,0.07,0.0,473
0.72,0.32,0.32,0.0,0.07,0.0,474
0.0,0.0,0.0,0.0,0.0,0.72,475
0.72,0.4,0.27,0.0,0.05,0.0,476
0.71,0.45,0.24,0.0,0.03,0.0,477
0.0,0.0,0.0,0.0,0.0,0.71,478
0.71,0.51,0.19,0.0,0.01,0.0,479
0.71,0.35,0.27,0.0,0.09,0.0,480
0.71,0.39,0.09,0.17,0.06,0.0,481
0.71,0.18,0.07,0.41,0.04,0.0,482
0.0,0.0,0.0,0.0,0.0,0.7,483
0.7,0.35,0.21,0.0,0.14,0.0,484
0.7,0.52,0.16,0.0,0.02,0.0,485
0.7,0.5,0.19,0.0,0.01,0.0,486
0.7,0.18,0.37,0.02,0.12,0.0,487
0.7,0.28,0.3,0.0,0.12,0.0,488
0.7,0.42,0.22,0.0,0.06,0.0,489
0.7,0.34,0.27,0.0,0.09,0.0,490
0.69,0.65,0.04,0.0,0.01,0.0,491
0.69,0.26,0.01,0.26,0.17,0.0,492
0.69,0.58,0.02,0.0,0.09,0.0,493
0.0,0.0,0.0,0.0,0.0,0.69,494
0.69,0.19,0.36,0.01,0.12,0.0,495
0.69,0.42,0.21,0.0,0.06,0.0,496
0.69,0.53,0.14,0.0,0.02,0.0,497
0.69,0.54,0.09,0.0,0.06,0.0,498
0.68,0.49,0.18,0.0,0.01,0.0,499
0.68,0.38,0.26,0.0,0.04,0.0,500
0.68,0.32,0.25,0.0,0.11,0.0,501
0.68,0.54,0.11,0.0,0.03,0.0,502
0.68,0.35,0.26,0.0,0.07,0.0,503
0.68,0.46,0.17,0.0,0.05,0.0,504
0.67,0.27,0.21,0.11,0.08,0.0,505
0.67,0.38,0.22,0.01,0.06,0.0,506
0.67,0.37,0.25,0.0,0.04,0.0,507
0.0,0.0,0.0,0.0,0.0,0.67,508
0.67,0.31,0.29,0.01,0.06,0.0,509
0.67,0.59,0.03,0.0,0.05,0.0,510
0.67,0.63,0.03,0.0,0.01,0.0,511
0.66,0.42,0.17,0.01,0.05,0.0,512
0.66,0.48,0.16,0.0,0.02,0.0,513
0.66,0.0,0.21,0.42,0.03,0.0,514
0.0,0.0,0.0,0.0,0.0,0.66,515
0.66,0.62,0.04,0.0,0.01,0.0,516
0.66,0.06,0.03,0.55,0.01,0.0,517
0.66,0.47,0.17,0.0,0.01,0.0,518
0.66,0.27,0.24,0.0,0.14,0.0,519
0.65,0.23,0.27,0.0,0.16,0.0,520
0.65,0.6,0.04,0.0,0.01,0.0,521
0.65,0.37,0.22,0.0,0.06,0.0,522
0.64,0.13,0.07,0.0,0.44,0.0,523
0.64,0.15,0.39,0.01,0.1,0.0,524
0.64,0.17,0.04,0.4,0.02,0.0,525
0.64,0.56,0.04,0.0,0.05,0.0,526
0.64,0.31,0.24,0.0,0.08,0.0,527
0.64,0.26,0.21,0.07,0.1,0.0,528
0.64,0.15,0.12,0.34,0.04,0.0,529
